#{"t_start": 1775311599.7773807, "env_id": "None"}
r,l,t
15.246667,20,12.60418
15.246667,20,12.633858
15.246667,20,12.660116
-2.97,20,12.686853
-2.576,20,12.712766
-2.576,20,12.742136
-6.403333,20,12.768901
-2.97,20,12.795644
-6.403333,20,12.822458
-6.403333,20,12.850694
-3.403333,20,22.150257
-10.6,20,22.176992
-10.6,20,22.208441
-21.45,20,22.238743
-21.45,20,22.270648
-21.45,20,22.298073
-21.45,20,22.324091
-21.45,20,22.355021
-3.403333,20,22.383043
-17.049286,20,22.411066
-7.4,20,31.998722
-24.5,20,32.026551
-7.4,20,32.055442
-7.4,20,32.081566
-7.4,20,32.10616
-7.4,20,32.131617
-24.5,20,32.162704
-24.5,20,32.189968
-7.4,20,32.215599
-7.4,20,32.242737
14.964,20,42.471195
-7.4,20,42.498629
14.964,20,42.529318
-7.4,20,42.556472
-11.391333,20,42.582896
-7.4,20,42.608342
14.964,20,42.636804
-11.391333,20,42.66335
-11.391333,20,42.690317
-7.4,20,42.715749
-7.4,20,53.057223
-7.4,20,53.084564
-7.4,20,53.114368
-7.4,20,53.138879
-7.4,20,53.164144
-7.4,20,53.189321
-7.4,20,53.217847
12.413333,20,53.245787
-7.4,20,53.271313
12.413333,20,53.29743
-0.446833,20,63.747139
-6.445,20,63.777081
-0.446833,20,63.805695
-7.4,20,63.830855
-7.4,20,63.856991
-6.445,20,63.884047
13.26,20,63.914265
-6.445,20,63.941489
-0.446833,20,63.968587
-0.446833,20,63.995749
-12.04875,20,74.652088
46.64625,9,74.664522
46.64625,9,74.676989
1.995085,20,74.706449
-12.04875,20,74.732594
-12.04875,20,74.760143
46.64625,9,74.772361
-12.04875,20,74.802139
-12.04875,20,74.830506
-12.04875,20,74.858103
-4.4,20,85.400234
-4.4,20,85.429287
8.325321,20,85.459074
8.2625,20,85.490034
-19.6425,20,85.517114
8.2625,20,85.54492
-4.4,20,85.572391
-19.6425,20,85.602612
8.325321,20,85.630012
8.2625,20,85.656727
5.209442,20,96.238334
0.048214,20,96.265672
0.048214,20,96.29494
0.048214,20,96.322503
5.209442,20,96.3493
5.209442,20,96.379049
5.209442,20,96.408519
0.048214,20,96.437476
