time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
986,0,4,-25.9026935,17.5,70,0.9966750000000001,,,,,
1019,0,8,-24.171371875,14.75,118,0.9943949999999999,,,,,
1046,0,12,-33.94858416666667,15.833333333333334,190,0.9909749999999999,,,,,
1050,0,16,-18.6912379375,15.4375,247,0.9882675000000001,,,,,
1068,0,20,-19.23536175,15.55,311,0.9852275,,,,,
1067,0,24,-16.42594158333333,16.0,384,0.98176,,,,,
1077,0,28,-21.130989357142855,16.142857142857142,452,0.9785299999999999,,,,,
455,1,32,-17.91080490625,16.21875,519,0.9753474999999999,0.0005,4,6.557710647583008,,
451,1,36,-16.678649055555557,16.22222222222222,584,0.9722599999999999,0.0005,20,5.510660171508789,,
461,1,40,-18.694023400000003,16.125,645,0.9693624999999999,0.0005,36,3.5462417602539062,,
471,1,44,-19.45246309090909,16.09090909090909,708,0.9663700000000002,0.0005,51,5.848768711090088,,
482,1,48,-21.3094476875,16.416666666666668,788,0.96257,0.0005,71,6.459214687347412,,
490,1,52,-19.36490775,16.384615384615383,852,0.9595300000000001,0.0005,87,7.073297500610352,,
495,1,56,-19.245450910714286,16.285714285714285,912,0.95668,0.0005,102,5.633964538574219,,
499,1,60,-18.330146733333336,15.966666666666667,958,0.9544950000000001,0.0005,114,4.9687018394470215,,
502,1,64,-16.47101659375,15.5625,996,0.9526899999999999,0.0005,123,7.663784980773926,,
506,2,68,-15.262736161764709,15.382352941176471,1046,0.9503149999999999,0.0005,136,5.830554485321045,,
507,2,72,-15.383125236111109,14.930555555555555,1075,0.9489375000000001,0.0005,143,5.741268157958984,,
509,2,76,-15.717001407894735,14.473684210526315,1100,0.94775,0.0005,149,3.113178014755249,,
511,2,80,-13.861609787500004,14.2625,1141,0.9458025000000001,0.0005,160,4.969409942626953,,
510,2,84,-13.635657285714288,13.928571428571429,1170,0.9444250000000001,0.0005,167,6.245029926300049,,
514,2,88,-15.122229545454546,14.090909090909092,1240,0.9410999999999999,0.0005,184,4.594043731689453,,
514,2,92,-14.562219565217392,13.804347826086957,1270,0.939675,0.0005,192,4.745657444000244,,
515,2,96,-13.479918989583334,13.479166666666666,1294,0.938535,0.0005,198,6.245976448059082,,
515,2,100,-13.291262579999998,13.12,1312,0.93768,0.0005,202,5.583773612976074,,
518,2,104,-12.578294839999998,12.85,1355,0.9356375,0.0005,213,4.414634704589844,,
