#{"t_start": 1775311724.411631, "env_id": "None"}
r,l,t
-7.03,1,17.212912
-22.145789,6,17.223767
-7.03,1,17.225807
-22.145789,6,17.235932
-7.03,1,17.238057
-22.145789,6,17.248492
-7.03,1,17.250456
-7.03,1,17.252491
-7.03,1,17.254432
-7.03,1,17.256393
4.1765,4,32.677552
-0.217143,4,32.683885
-0.217143,4,32.690245
19.998,3,32.695408
-0.217143,4,32.701961
4.1765,4,32.708448
-0.217143,4,32.715751
35.946344,7,32.726875
-0.217143,4,32.733564
35.946344,7,32.744722
8.29,7,48.356679
8.29,7,48.368465
45.48,5,48.377192
8.29,7,48.392319
10.357321,3,48.397463
45.48,5,48.406225
10.357321,3,48.411404
15.2775,5,48.41987
10.357321,3,48.425349
8.29,7,48.437213
41.45,4,63.950244
42.81375,6,63.960712
42.81375,6,63.971456
42.81375,6,63.981867
39.740714,5,63.990811
28.512589,4,63.999981
41.45,4,64.007215
41.45,4,64.014982
41.45,4,64.022073
41.45,4,64.029051
51.828333,5,79.76298
39.740714,5,79.771404
51.828333,5,79.780135
40.910982,4,79.787043
39.740714,5,79.795756
39.740714,5,79.804159
40.910982,4,79.811083
46.990571,7,79.824433
40.910982,4,79.830796
40.910982,4,79.837212
53.150714,7,95.547377
53.150714,7,95.560125
51.828333,5,95.569375
46.868036,6,95.580986
53.150714,7,95.593716
50.165179,4,95.601015
46.868036,6,95.611486
51.828333,5,95.622477
46.868036,6,95.632829
53.150714,7,95.644084
53.150714,7,111.758869
53.150714,7,111.770659
50.165179,4,111.777976
51.828333,5,111.786633
50.165179,4,111.793825
43.21875,5,111.80498
43.21875,5,111.814973
50.165179,4,111.821893
53.150714,7,111.833551
53.150714,7,111.845732
51.828333,5,127.916517
53.586607,4,127.923953
53.586607,4,127.931096
53.150714,7,127.943338
51.828333,5,127.952051
53.150714,7,127.96448
48.788214,6,127.975115
51.828333,5,127.984001
48.788214,6,127.994143
48.788214,6,128.007226
50.843929,6,142.974057
50.843929,6,142.984206
50.843929,6,142.994009
51.828333,5,143.004172
50.843929,6,143.014276
53.586607,4,143.020764
51.828333,5,143.028778
51.828333,5,143.037122
53.586607,4,143.043848
51.828333,5,143.051687
55.40375,7,158.795901
53.586607,4,158.803071
53.586607,4,158.81051
53.586607,4,158.817548
53.586607,4,158.826499
51.828333,5,158.834823
53.586607,4,158.841489
53.586607,4,158.848119
50.843929,6,158.858373
50.843929,6,158.867883
032
25.28369,20,6.794403
-54.394137,20,6.841667
15.201333,6,6.85667
-7.69,3,6.864722
-7.36,2,6.869797
8.705368,6,6.884209
-7.03,1,6.887022
-19.99859,20,6.936503
-91.315263,20,6.98417
-1.295,20,7.028758
-7.69,3,7.037793
-26.635263,20,7.084105
24.877778,14,7.119801
3.833333,4,7.129689
40.54625,17,7.172726
-19.692579,9,7.193814
-7.03,1,7.196554
-8.02,4,7.206376
-3.655714,20,7.253492
9.16,4,7.263832
-0.371579,20,7.30819
32.69,7,7.325527
19.793333,10,7.350071
13.6,10,7.373077
26.87,13,7.402812
4.593333,2,7.407648
-2.856579,16,7.446379
-144.785714,20,7.491686
8.35,20,7.538045
43.989167,13,7.569782
-7.549,16,7.603778
-30.821288,17,7.642787
24.086071,7,7.661365
2.764,20,7.705997
-7.410789,3,7.713696
21.0695,12,7.741631
29.055278,18,7.784305
-55.67,17,7.824114
-9.253667,8,7.842925
-28.733929,12,7.874679
-1.929615,15,7.908085
-25.487895,6,7.921928
7.857333,8,7.940054
11.281167,4,7.949069
-82.01,20,7.998689
-59.071964,20,8.775244
12.492667,13,8.805641
9.135789,20,8.85163
5.61,3,8.859594
4.602333,10,8.885712
4.961333,6,8.900841
20.36,13,8.929482
11.207556,6,8.94341
-7.03,1,8.946034
-7.69,3,8.952734
-1.2,20,9.001871
-13.65,5,9.014027
9.040667,14,9.047814
9.94,20,9.097404
18.473316,10,9.121544
1.415,12,9.148417
-152.70125,20,9.194969
-20.704444,20,9.239661
-117.576667,20,9.285145
4.026667,12,9.315658
-2.38,20,9.360413
10.17,20,9.412226
3.355895,8,9.431149
15.84,4,9.44075
-7.03,12,9.469172
1.048143,9,9.489413
2.828036,20,9.538485
-22.355526,3,9.546177
12.098947,17,9.585769
43.551823,17,9.626834
-5.702105,18,9.666881
42.855714,7,9.682947
16.85,15,9.721642
12.547778,17,9.762001
23.45,13,9.790954
-4.151333,17,9.832372
15.446,10,9.85568
-24.26,7,9.87186
22.143571,8,9.88958
-58.316667,20,9.934262
-80.29,20,9.980801
-10.305667,9,10.002037
31.887833,13,10.034073
3.776679,20,10.077942
8.651607,20,10.123882
43.084833,9,10.143219
11.53,9,10.16195
5.951333,3,10.168489
-31.266667,13,10.195526
25.038421,17,10.244507
-12.147778,15,10.282613
-68.553333,20,10.330113
-35.165526,20,10.374518
-65.053929,3,10.382688
-4.167143,12,10.410009
-54.77,7,10.428098
7.006667,2,10.4328
-0.467895,20,10.476954
23.596667,14,10.508207
-18.052833,11,10.53498
-37.186667,20,10.578851
-7.36,2,10.583879
-14.29,14,10.614323
-2.84,20,10.661224
-37.773889,20,10.706038
2.6,20,10.753705
6.516667,5,10.765756
19.279258,20,10.810808
-10.145,20,10.858686
-23.450579,20,10.905258
-60.751429,16,10.944753
-57.965357,15,10.980452
-16.67125,20,11.025883
17.625474,18,11.069728
9.422222,20,11.114108
7.696,8,11.135142
-7.36,2,11.139992
-16.239368,5,11.150954
10.691429,5,11.863533
11.125833,6,11.877748
13.123333,15,11.913181
32.500714,6,11.927894
25.39,7,11.944413
16.756833,3,11.953586
-6.610222,20,12.00257
49.878333,12,12.031233
25.372632,20,12.078566
-5.853333,20,12.124496
21.849333,14,12.159241
-7.36,2,12.16391
12.763148,20,12.208595
22.32,6,12.223132
8.741333,4,12.232097
-40.378222,20,12.281025
-12.66,2,12.286939
-14.828,20,12.333725
-7.03,1,12.336912
36.917833,13,12.368461
-1.499632,20,12.41577
-26.948947,7,12.432156
8.031421,15,12.467993
19.275357,3,12.475227
-8.213474,8,12.493695
3.213333,8,12.513637
-7.03,1,12.516669
8.517333,6,12.531783
6.258,4,12.541395
-6.220714,20,12.588891
12.735714,4,12.598603
-3.173333,20,12.644552
-7.69,3,12.651951
5.8625,10,12.677261
-59.529333,3,12.684438
8.923333,20,12.730864
7.446667,4,12.74048
34.2025,10,12.7645
6.127368,9,12.787076
6.455667,3,12.794341
-10.255,20,12.840415
14.040333,13,12.874233
7.904167,5,12.886882
-4.225,20,12.9343
23.831944,15,12.969047
-58.54625,20,13.019205
5.61,3,13.027075
-18.008,11,13.051472
2.868333,18,13.09412
-7.03,1,13.097571
-7.03,1,13.100253
30.8525,17,13.139593
