time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
1024,14.614285714285714,1,2,-17.978800200000002,352,,,,,,,,,,,,
2048,13.54,2,6,-8.69771761,318,0.0104703875,0.2,10,0.07734375,-3.3622587651014326,0.0003,397.7553405761719,900.5304706573486,-0.0017501115798950195,-0.027902105019893497,,
3072,13.09,3,9,-8.21971997,320,0.01384645,0.2,20,0.13095703125,-3.3434723943471907,0.0003,405.9482727050781,635.7105886459351,0.008324742317199707,-0.03299272503354587,,
4096,10.78,4,12,2.75370696,322,0.019882493,0.2,30,0.13740234375,-3.3043496355414392,0.0003,281.595458984375,544.8446668148041,0.0850224494934082,-0.03725993059924804,,
5000,,,,,,0.013772387,0.2,40,0.13662109375,-3.253774519264698,0.0003,176.6975860595703,426.8596396446228,0.05610090494155884,-0.03225708488607779,-11.564736700000001,2.5
5120,9.51,5,15,5.662237200000001,320,,,,,,,,,,,,
6144,7.98,6,19,9.57495524,321,0.017651007,0.2,50,0.18857421875,-3.2092084124684335,0.0003,96.89863586425781,278.47194442749026,0.08949768543243408,-0.03996176891378127,,
7168,8.72,7,22,18.201326160000004,322,0.0176985,0.2,60,0.19462890625,-3.1982487842440603,0.0003,107.93067932128906,219.3624496459961,0.11260128021240234,-0.03805979297030717,,
8192,8.84,8,25,21.04241218,322,0.01687602,0.2,70,0.16494140625,-3.160011161863804,0.0003,103.90882110595703,199.00321125984192,0.12005865573883057,-0.032595033716643226,,
9216,8.14,9,28,22.33008914,322,0.013286797,0.2,80,0.149609375,-3.1044732362031935,0.0003,165.465087890625,194.3495994091034,0.129613995552063,-0.03154906712588854,,
10000,,,,,,0.017769717,0.2,90,0.2296875,-3.0722815573215483,0.0003,95.42469787597656,204.77753882408143,0.1820439100265503,-0.035871963010868056,9.9157973,4.5
10240,9.31,10,31,22.984281410000005,322,,,,,,,,,,,,
